# Per-model hold q on the hand layout for all 6,723 BPMN models in the 15-40 band,
# the population behind results/bpmn_representativeness.py and the paper's 0.87.
# Source: bpmai.tar.gz, sha256 7c40fe0c13f78943f1600f09203c30d83c41fd6c71b81902367bf057a73f947a.
# Funnel: 29,810 models archived; parsers/parse_bpmn.py parses 21,784 (>= 10 nodes, >= 1 edge);
# 13,435 have every edge a BPMN flow or association; data/make_corpus.py --bpmn keeps their
# largest component of 15 to 40 nodes, 6,723 graphs (bpmn_all.txt); data/bpmn.txt is the first 300 by id.
# Each column is the q of `station direct --corpus bpmn_all.txt --weights W`, one weight set:
# overlap 0,1,0,0,0,0,0,0; length 0,0,1,0,0,0,0,0 (--L fit); stress 0,0,0,1,0,0,0,0;
# alignA1 0,0,0,0,0,1,0,0 --align a1; flow 0,0,0,0,0,0,0,1.
id,overlap,length,stress,alignA1,flow
1094820568.json,1.000000,0.000000,0.000000,1.000000,0.625000
1094850474.json,1.000000,0.000000,0.000000,0.454545,0.590909
1095047519.json,1.000000,0.000000,0.000000,1.000000,0.771429
1095550334.json,1.000000,0.000000,0.000000,1.000000,0.555556
1095631487.json,1.000000,0.000000,0.000000,1.000000,1.000000
1095775657.json,1.000000,0.000000,0.062500,0.875000,1.000000
1095987898.json,1.000000,0.000000,0.000000,0.481481,0.629630
1096176600.json,1.000000,0.125000,0.000000,0.875000,0.750000
1096361500.json,1.000000,0.000000,0.000000,0.535714,0.500000
1096460998.json,1.000000,0.000000,0.000000,0.576923,0.807692
1096535791.json,1.000000,0.000000,0.000000,0.695652,0.739130
1097201658.json,1.000000,0.000000,0.000000,0.578947,0.631579
1097458453.json,1.000000,0.000000,0.000000,1.000000,0.807692
109831958.json,1.000000,0.000000,0.050000,1.000000,0.900000
1098945733.json,1.000000,0.066667,0.066667,0.933333,0.866667
1100382784.json,1.000000,0.160000,0.080000,0.760000,1.000000
1100749326.json,1.000000,0.000000,0.000000,0.450000,0.800000
110155951.json,1.000000,0.000000,0.000000,0.578947,0.473684
1101665688.json,1.000000,0.000000,0.000000,0.588235,0.941176
1101873223.json,1.000000,0.000000,0.121212,0.606061,0.727273
1102078407.json,1.000000,0.000000,0.034483,0.344828,0.793103
1102751329.json,1.000000,0.058824,0.235294,0.823529,0.823529
110321565.json,1.000000,0.000000,0.000000,1.000000,0.727273
1103309716.json,1.000000,0.000000,0.000000,0.833333,0.888889
1103827797.json,1.000000,0.000000,0.000000,0.312500,0.375000
1104163772.json,1.000000,0.000000,0.000000,0.466667,0.866667
1104391844.json,1.000000,0.000000,0.000000,1.000000,0.684211
1104498157.json,1.000000,0.233333,0.233333,0.800000,1.000000
1104624701.json,0.945946,0.000000,0.027027,0.702703,0.945946
1104707653.json,1.000000,0.000000,0.000000,0.590909,0.590909
1104963002.json,1.000000,0.000000,0.000000,0.806452,0.935484
1104997461.json,1.000000,0.250000,0.000000,1.000000,0.875000
1105197687.json,1.000000,0.000000,0.000000,0.741935,0.741935
