# Per-model hold q on the hand layout for all 6,723 BPMN models in the 15-40 band,
# the population behind results/bpmn_representativeness.py and the paper's 0.87.
# Source: bpmai.tar.gz, sha256 7c40fe0c13f78943f1600f09203c30d83c41fd6c71b81902367bf057a73f947a.
# Funnel: 29,810 models archived; parsers/parse_bpmn.py parses 21,784 (>= 10 nodes, >= 1 edge);
# 13,435 have every edge a BPMN flow or association; data/make_corpus.py --bpmn keeps their
# largest component of 15 to 40 nodes, 6,723 graphs (bpmn_all.txt); data/bpmn.txt is the first 300 by id.
# Each column is the q of `station direct --corpus bpmn_all.txt --weights W`, one weight set:
# overlap 0,1,0,0,0,0,0,0; length 0,0,1,0,0,0,0,0 (--L fit); stress 0,0,0,1,0,0,0,0;
# alignA1 0,0,0,0,0,1,0,0 --align a1; flow 0,0,0,0,0,0,0,1.
id,overlap,length,stress,alignA1,flow
1074286493.json,1.000000,0.000000,0.000000,0.857143,0.904762
1074775346.json,1.000000,0.000000,0.000000,1.000000,0.909091
1075021130.json,1.000000,0.000000,0.000000,0.533333,0.700000
1075086604.json,1.000000,0.000000,0.000000,0.730769,0.846154
1075479164.json,1.000000,0.333333,0.266667,1.000000,1.000000
1075720640.json,1.000000,0.000000,0.000000,1.000000,0.812500
1075776148.json,1.000000,0.000000,0.000000,1.000000,0.869565
1076353098.json,1.000000,0.000000,0.000000,0.642857,0.928571
1076439938.json,1.000000,0.000000,0.031250,0.625000,0.906250
1076568181.json,1.000000,0.000000,0.000000,0.894737,0.894737
1077258635.json,1.000000,0.000000,0.000000,1.000000,0.913043
1077733223.json,1.000000,0.000000,0.000000,1.000000,0.833333
1078062603.json,1.000000,0.000000,0.041667,0.333333,0.750000
107821297.json,1.000000,0.000000,0.000000,0.571429,0.857143
1078245406.json,1.000000,0.000000,0.000000,0.259259,0.666667
1078910042.json,1.000000,0.000000,0.000000,0.650000,0.750000
1079170847.json,1.000000,0.000000,0.000000,1.000000,0.882353
1079308883.json,1.000000,0.000000,0.052632,0.578947,0.631579
1080396160.json,1.000000,0.029412,0.000000,0.735294,0.735294
1080546118.json,1.000000,0.000000,0.000000,0.200000,0.900000
1081364078.json,0.904762,0.000000,0.095238,0.666667,0.809524
1081511532.json,1.000000,0.052632,0.000000,1.000000,1.000000
1081659524.json,1.000000,0.000000,0.000000,0.526316,0.842105
1082065623.json,1.000000,0.000000,0.000000,1.000000,0.823529
1082217097.json,1.000000,0.421053,0.368421,1.000000,1.000000
108256378.json,0.888889,0.000000,0.000000,0.666667,0.666667
1082695978.json,1.000000,0.000000,0.000000,0.521739,0.565217
1082877129.json,1.000000,0.000000,0.000000,1.000000,0.485714
1083025710.json,1.000000,0.034483,0.034483,0.862069,1.000000
1083590871.json,1.000000,0.000000,0.000000,0.800000,0.600000
1083726025.json,1.000000,0.000000,0.000000,1.000000,0.888889
1084807158.json,1.000000,0.025000,0.000000,0.550000,0.800000
1085164812.json,1.000000,0.156250,0.000000,1.000000,0.750000
1085228161.json,1.000000,0.000000,0.000000,0.789474,0.684211
1085275397.json,1.000000,0.000000,0.000000,0.631579,0.684211
108550595.json,1.000000,0.000000,0.000000,0.812500,0.875000
1086277850.json,1.000000,0.052632,0.000000,0.421053,0.736842
1086493814.json,1.000000,0.000000,0.000000,0.720000,0.480000
1086518477.json,1.000000,0.000000,0.000000,0.764706,0.882353
1086686710.json,1.000000,0.000000,0.083333,1.000000,0.916667
1086913116.json,1.000000,0.000000,0.038462,0.730769,1.000000
1087139970.json,1.000000,0.000000,0.000000,0.600000,0.760000
1088129127.json,0.888889,0.166667,0.000000,1.000000,1.000000
108818346.json,1.000000,0.000000,0.000000,0.777778,0.722222
1088210012.json,1.000000,0.000000,0.000000,1.000000,0.647059
1088753578.json,1.000000,0.000000,0.000000,1.000000,1.000000
1089311660.json,1.000000,0.000000,0.000000,0.857143,0.857143
1089733368.json,1.000000,0.000000,0.000000,1.000000,1.000000
1090152102.json,1.000000,0.000000,0.000000,1.000000,0.750000
1090644633.json,1.000000,0.058824,0.000000,1.000000,1.000000
1090872425.json,1.000000,0.142857,0.047619,1.000000,0.904762
1091178985.json,1.000000,0.000000,0.000000,1.000000,0.687500
1091314634.json,1.000000,0.000000,0.000000,1.000000,1.000000
109152126.json,1.000000,0.000000,0.000000,0.708333,0.625000
1092005652.json,1.000000,0.000000,0.000000,0.500000,0.727273
1092338923.json,1.000000,0.000000,0.000000,1.000000,1.000000
109318540.json,1.000000,0.000000,0.000000,0.909091,1.000000
1094073522.json,1.000000,0.000000,0.000000,1.000000,1.000000
1094178782.json,1.000000,0.000000,0.000000,0.818182,0.545455
1094500977.json,1.000000,0.000000,0.000000,0.800000,0.600000
1094509403.json,1.000000,0.062500,0.000000,0.750000,0.875000
