id,author
Hs_Thermogenesis_WP4321_20250930,Khanspers
Hs_Thyroid_hormone_imbalance_leading_to_neurodevelopmental_abnormalities_WP5227_20240723,CMalyar
Hs_Thyroid_stimulating_hormone_(TSH)_signaling_WP2032_20250306,Drrenugoel
Hs_Trans-sulfuration_pathway_WP2333_20251202,Leonjohn2008
Hs_Transcription_co-factors_SKI_and_SKIL_protein_partners_WP4533_20190225,Mkutmon
Hs_Translation_inhibitors_in_chronically_activated_PDGFRA_cells_WP4566_20250303,Khanspers
Hs_Triacylglyceride_synthesis_WP325_20240514,Evelo
Hs_Tryptophan_catabolism_leading_to_NAD+_production_WP4210_20180131,DeSl
Hs_Tryptophan_kynurenine_pathway_in_post-COVID_syndrome_WP5549_20260319,Kristof-Kirps
Hs_Type_I_interferon_induction_and_signaling_during_SARS-CoV-2_infection_WP4868_20241030,AlexanderPico
Hs_Tyrosine_metabolism_and_related_disorders_WP4506_20240129,L Dupuis
Hs_UDP-derived_sugars_synthesis_in_fibroblasts_WP5394_20240722,Juliablad
Hs_Unfolded_protein_response_WP4925_20240724,Annabaya
Hs_Urea_cycle_and_related_diseases_WP4571_20251018,IreneHemel
Hs_Valproic_acid_pathway_WP3871_20250303,Fehrhart
Hs_Visual_cycle_WP5534_20251031,Eweitz
Hs_Vitamin_A_and_carotenoid_metabolism_WP716_20250407,Andra
Hs_Vitamin_B12_disorders_WP4271_20250306,Mzolisi
Hs_Vitamin_D_metabolism_WP1531_20260102,Evelo
Hs_Vitamin_K_metabolism_and_activation_of_dependent_proteins_WP5186_20250308,AnnaVanWersch
Hs_White_fat_cell_differentiation_WP4149_20190917,Mkutmon
Hs_mRNA__protein__and_metabolite_induced_stress_pathway_by_cyclosporin_A_WP3953_20250721,Egonw
Hs_mRNA_vaccine_activation_of_dendritic_cell_and_induction_of_IFN-1_WP5187_20240316,NhungP
Hs_miR-509-3p_alteration_of_YAP1-ECM_axis_WP3967_20250303,Khanspers
Hs_miRNA_regulation_of_p53_pathway_in_prostate_cancer_WP3982_20250303,Khanspers
Hs_miRNA_regulation_of_prostate_cancer_signaling_WP3981_20250224,Khanspers
Hs_miRNA_targets_in_ECM_and_membrane_receptors_WP2911_20250308,Khanspers
Hs_ncRNAs_in_Wnt_signaling_in_hepatocellular_carcinoma_WP4336_20250227,Khanspers
Hs_p38_MAPK_signaling_WP400_20250303,S.Burel
