corpus,layout,routes,term,d,dirs,L,median_q
sbgn,hand,stored,A1,0.05,32,fit,0.125
sbgn,hand,stored,A1,0.05,64,fit,0.068
sbgn,hand,chords,length,0.005,8,fit,0.000
sbgn,hand,chords,length,0.005,8,median,0.029
sbgn,hand,chords,length,0.005,8,rsqrt,0.000
sbgn,hand,chords,length,0.005,16,fit,0.000
sbgn,hand,chords,length,0.005,16,median,0.029
sbgn,hand,chords,length,0.005,16,rsqrt,0.000
sbgn,hand,chords,length,0.005,32,fit,0.000
sbgn,hand,chords,length,0.005,32,median,0.028
sbgn,hand,chords,length,0.005,32,rsqrt,0.000
sbgn,hand,chords,length,0.005,64,fit,0.000
sbgn,hand,chords,length,0.005,64,median,0.028
sbgn,hand,chords,length,0.005,64,rsqrt,0.000
sbgn,hand,chords,length,0.01,8,fit,0.000
sbgn,hand,chords,length,0.01,8,median,0.032
sbgn,hand,chords,length,0.01,8,rsqrt,0.000
sbgn,hand,chords,length,0.01,16,fit,0.000
sbgn,hand,chords,length,0.01,16,median,0.031
sbgn,hand,chords,length,0.01,16,rsqrt,0.000
sbgn,hand,chords,length,0.01,32,fit,0.000
sbgn,hand,chords,length,0.01,32,median,0.029
sbgn,hand,chords,length,0.01,32,rsqrt,0.000
sbgn,hand,chords,length,0.01,64,fit,0.000
sbgn,hand,chords,length,0.01,64,median,0.029
sbgn,hand,chords,length,0.01,64,rsqrt,0.000
sbgn,hand,chords,length,0.02,8,fit,0.000
sbgn,hand,chords,length,0.02,8,median,0.050
sbgn,hand,chords,length,0.02,8,rsqrt,0.000
sbgn,hand,chords,length,0.02,16,fit,0.000
sbgn,hand,chords,length,0.02,16,median,0.042
sbgn,hand,chords,length,0.02,16,rsqrt,0.000
sbgn,hand,chords,length,0.02,32,fit,0.000
sbgn,hand,chords,length,0.02,32,median,0.038
sbgn,hand,chords,length,0.02,32,rsqrt,0.000
sbgn,hand,chords,length,0.02,64,fit,0.000
sbgn,hand,chords,length,0.02,64,median,0.035
